siteID,Lake_name,code,lake_or_reservoir,location,region,latitude,longitude,elevation_m,mean_depth_m,max_depth_m,surface_area_km2,volume_km3,source,sampling_depth,time_period,human_impacts,contributor
276,Stechlinsee,is50,Lake,Germany Brandenburg,Europe,53.16,13.03,60,23,68,4.3,1.56,Adrian,0,JAS,,Rita Adrian adrian@igb-berlin.de
277,Stensjon,is51,Lake,Sweden,Europe,58.09,14.83,268,4.2,8.5,0.56,2.41E-03,Weyhenmeyer,0,JAS,,Gesa  Wehenmeyer Gesa.Weyhenmeyer@ebc.uu.se
278,Stora Envattern,is52,Lake,Sweden,Europe,59.11,17.35,62,5,11.2,0.37,1.85E-03,Weyhenmeyer,0,JAS,,Gesa  Wehenmeyer Gesa.Weyhenmeyer@ebc.uu.se
279,Sugarloaf,is190,Reservoir,Australia,Oceania,-37.1,143.4,178,21.9,77.7,4.4,0.09,Brookes,0,JFM,,Justin Brookes justin.brookes@adelaide.edu.au
280,Superior.B45001,21,Lake,Canada United States,Eastern North America,48.04,-87.77,184,148,406,81935.7,12221,Austin/Schneider,0,JAS,,Jay Austin jaustin@d.umn.edu; Phillip Schneider ps@nilu.no
281,Superior.B45004,22,Lake,Canada United States,Eastern North America,47.58,-86.58,184,148,406,81935.7,12221,Austin/Schneider,0,JAS,,Jay Austin jaustin@d.umn.edu; Phillip Schneider ps@nilu.no
282,Superior.B45006,23,Lake,Canada United States,Eastern North America,47.33,-89.79,184,148,406,81935.7,12221,Austin/Schneider,0,JAS,,Jay Austin jaustin@d.umn.edu; Phillip Schneider ps@nilu.no
283,Superior.Center,20,Lake,Canada United States,Eastern North America,48.05,-87.09,184,148,406,81935.7,12221,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
284,Swan,is5009,Lake,Canada,Eastern North America,46.36,-81.11,286,2.8,8.8,0.05,1.62E-04,Rusak,0,JAS,,Jim Rusak Jim.Rusak@ontario.ca
285,Tahoe.Index,is191,Lake,United States,Western North America,39.11,-120.03,1897,305,501,495,151,Schladow,0,JAS,,Geoff Schladow gschladow@ucdavis.edu
286,Tahoe.Mid.Lake,3800,Lake,United States California Nevada,Western North America,39.13,-120.05,1996,305,501,484.7,156,Schladow,0,JAS,,Geoff Schladow gschladow@ucdavis.edu
287,Tahoe.TB1,3801,Lake,United States ,Western North America,39.15,-120,1996,305,501,484.7,156,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
288,Tahoe.TB2,3802,Lake,United States ,Western North America,39.1,-120.01,1996,305,501,484.7,156,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
289,Tahoe.TB3,3803,Lake,United States ,Western North America,39.11,-120.07,1996,305,501,484.7,156,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
290,Tahoe.TB4,3804,Lake,United States ,Western North America,39.15,-120.07,1996,305,501,484.7,156,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
291,Taihu.B1,660a,Lake,China ,Asia,31.23,120.12,2,1.9,2.6,2398.5,4.3,Teubner,not in file,JAS,Nutrient pollution,Katrin Teubner katrin.teubner@univie.ac.at
292,Taihu.B2,,Lake,China ,Asia,31.23,120.12,2,1.9,2.6,2398.5,4.3,Teubner,not in file,JAS,Nutrient pollution,Katrin Teubner katrin.teubner@univie.ac.at
293,Taihu.C7,660b,Lake,China ,Asia,31.23,120.12,2,1.9,2.6,2398.5,4.3,Teubner,not in file,JAS,Nutrient pollution,Katrin Teubner katrin.teubner@univie.ac.at
294,Taihu.C8,660c,Lake,China ,Asia,31.23,120.12,2,1.9,2.6,2398.5,4.3,Teubner,not in file,JAS,Nutrient pollution,Katrin Teubner katrin.teubner@univie.ac.at
295,Tana,550,Lake,Ethiopia ,Africa,12.07,37.38,1786,9,14,3034.7,28,Satellite,skin,JFM, ,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
296,Tanganyika,70,Lake,Zaire Tanzania Zambia Burundi,Africa,-6.79,30.07,773,572,1471,32820.5,17800,Satellite Denis/Oreilly/Verburg/McIntyre,skin,JAS,,Pierre-Denis Plisnier pierre-denis.plisnier@africamuseum.be; CatherineOreilly cmoreil@ilstu.edu; Piet Verburg piet.verburg@niwa.co.nz; Peter McIntyre pmcintyre@wisc.edu
297,Tarawera,is53,Lake,New Zealand,Oceania,-38.2,176.42,298,57,87.5,39,2.3,Allan,,JFM,,Mat Allan mga1@waikato.ac.nz; David Hamilton davidh@waikato.ac.nz
298,Taupo,2950,Lake,New Zealand ,Oceania,-38.79,175.92,395,110,186,600.5,60,Verburg,1,JFM,,Piet Verburg piet.verburg@niwa.co.nz
299,Taymyr,430,Lake,Russia ,Asia,74.4,101.69,24,2.8,26,4200.1,12.8,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
300,Teshekpuk.Lake,2120,Lake,United States ,Western North America,70.6,-153.61,2,,10,834.9,,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
301,Titicaca,200,Lake,Peru Bolivia,South America,-15.78,-69.4,3827,107,281,8270.6,893,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
302,Tod.Reservoir,is906,Reservoir,Australia,Oceania,-34.48,135.85,113.1,8.43,,1.34,0.01,Daly,0,JFM,,Rob Daly Rob.Daly@sawater.com.au
303,Toolik..JJA.,is504,Lake,United States,Western North America,68.63,-149.6,719,1.7,25,1.5,0.01,Arctic LTER,0,JAS,no,Sally MacIntyre sally@eri.ucsb.edu
304,Trout.Lake,124710,Lake,United States Wisconsin,Eastern North America,46.03,-89.66,491,14.6,35.7,14.2,0.2,NTL LTER,0,JAS,,Jordan Read jread@usgs.gov
305,Tsimlyanskoye,710,Reservoir,Russia ,Europe,47.71,42.37,28,8.8,35,2242.4,23.7,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
306,Tulemalu,2690,Lake,Canada ,Eastern North America,62.95,-99.34,279,,,656.8,,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
307,Tumba,2550,Lake,Zaire ,Africa,-0.68,18.01,338,,5,697,,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
308,Turkana,220,Lake,Kenya Ethiopia,Africa,3.78,36.04,438,30.2,109,7785.4,203.6,Satellite,skin,JFM,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
309,U..Yarra,is192,Reservoir,Australia,Oceania,-37.68,145.92,366.6,26.7,80.6,7.5,0.2,Haydon,0,JFM,,Shane Haydon shane.haydon@melbournewater.com.au
310,Ulungar,2390,Lake,China ,Asia,47.24,87.21,452,8,12,757,6.06,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
311,Upemba,3140,Lake,Zaire ,Africa,-8.62,26.4,586,1,4,573,0.9,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
312,Upper.Constance,is8,Lake,Germany,Europe,47.65,9.3,395,101,254,472,48.53,Straile,1,JAS,,Dietmar Straile Dietmar.Straile@uni-konstanz.de
313,Upper.Zurich,is54,Lake,Switzerland,Europe,47.2,8.83,406,19.6,48,21.69,0.42,Livingstone,0,JAS,Mesotrophic Boating,David Livingstone living@eawag.ch
314,Urmia,340,Lake,Iran ,Middle East,37.92,45.24,1271,5,16,4963.4,45,Satellite,skin,JAS, ,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
315,Uvs,530,Lake,Mongolia Russia,Asia,50.3,92.7,752,6,10,3421.5,39.6,Satellite,skin,JAS, ,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
316,Valkea.Kotinen,is55,lake,Finland,Europe,61.24,25.06,154,2.5,6.5,0.04,1.00E-04,Arvola,0,JAS,No direct,Lauri Arvola lauri.arvola@helsinki.fi
317,Van,510,Lake,Turkey ,Middle East,38.63,42.69,1638,171,451,3537.9,607,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
318,Vanern,290,Lake,Sweden ,Europe,59.06,13.6,45,27,106,5650,153,Weyhenmeyer,0,JAS,,Gesa  Wehenmeyer Gesa.Weyhenmeyer@ebc.uu.se
319,Vattern,950a,Lake,Sweden ,Europe,58.33,14.56,91,40,128,1890,74,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
320,Vattern.at.Motala.Kraftverk,950b,Lake,Sweden,Europe,58.33,14.56,91,40,128,1890,74,Weyhenmeyer,5,JAS,,Gesa  Wehenmeyer Gesa.Weyhenmeyer@ebc.uu.se
321,Vattern.at.Rassnas,,Lake,Sweden,Europe,58.33,14.56,91,40,128,1890,74,Weyhenmeyer,5,JAS,,Gesa  Wehenmeyer Gesa.Weyhenmeyer@ebc.uu.se
322,Vattern.at.Vadstena,950d,Lake,Sweden,Europe,58.33,14.56,91,40,128,1890,74,Wehenmeyer,5,JAS,,Gesa  Wehenmeyer Gesa.Weyhenmeyer@ebc.uu.se
323,Victoria,30,Lake,Tanzania Uganda Kenya,Africa,-0.95,33.03,1140,40,84,67075.2,2750,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
324,Viedma,1710,Lake,Argentina ,South America,-49.55,-72.81,297,2.57,,1047.4,2.7,Satellite,skin,JFM,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
325,Vortsjarv,is57,Lake,Estonia central,Europe,58.26,26.03,33.6,2.8,6,270,0.76,Noges,0,JAS,Settlements and agriculture on catchment commercial fishery,Tiina and Peeter Noges tiina.noges@emu.ee and peeter.noges@emu.ee
326,Walenstadt,is58,Lake,Switzerland,Europe,47.12,9.21,419,104.5,151,24.13,2.52,Livingstone,0,JAS,Oligotrophic Boating,David Livingstone living@eawag.ch
327,Walker.Lake,11280,Lake,United States ,Western North America,38.71,-118.71,1206,19.3,26.3,165.5,3.19,Satellite,skin,JAS, ,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
328,Warren.Reservoir,is194,Reservoir,Australia,Oceania,-34.71,138.93,395.8,4.56,13.8,1.05,4.80E-03,Daly,0,JFM,,Rob Daly Rob.Daly@sawater.com.au
329,Washington,is59,Lake,United States,Western North America,47.63,-122.26,4.9,32.9,65.2,87.6,2.89,Schindler,0,JAS,,Daniel Schindler deschind@uw.edu
330,Washington_FL,,Lake,United State,Southeastern North America,28.14,-80.74,4.88,,,17.65,,Havens,0,JAS,,Karl Havens khavens@ufl.edu
331,Waterfall.Gully,is501,Reservoir,Australia,Oceania,-34.96,138.67,,,,,,Brookes,0,JFM,,Justin Brookes justin.brookes@adelaide.edu.au
332,Whitepine,is306,Lake,Canada,Eastern North America,47.38,-80.61,422,7,22,0.84,5.92E-03,Bailey,0,JAS,,John Bailey jbailey@laurentian.ca
333,Wingecarribee,is196,Reservoir,Australia,Oceania,-34.54,150.48,677.5,4.1,12,6.26,0.02,Tracey Schultz,0,JFM,,Tracey Schultz Tracey.Schultz@sca.nsw.gov.au
334,Wingra,is135,Lake,United States,Eastern North America,43.05,-89.41,257.86,2.7,6.7,1.39,3.77E-03,NTL LTER,0,JAS,,Jordan Read jread@usgs.gov
335,Winnebago,3400,Lake,United States ,Eastern North America,44.02,-88.41,229,4.7,7,526.1,4.1,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
336,Winnipeg,130,Lake,Canada ,Eastern North America,53.39,-98.39,217,12,36,23809.3,284,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
337,Winnipegosis,310,Lake,Canada ,Eastern North America,52.66,-99.86,252,4.24,18.3,5167.1,19.8,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
338,Woerther.See,is60,Lake,Austria K,Europe,46.63,14.15,439,41.9,85.2,19.39,0.81,Dokulil,0,JAS,Tourism Boating,Martin Dokulil martin.dokulil@univie.ac.at 
339,Yan.Yean,is503,Reservoir,Australia,Oceania,-37.55,145.14,183.2,5.4,8.4,5.6,0.03,Haydon,0,JFM,,Shane Haydon shane.haydon@melbournewater.com.au
340,Zaysan,400,Reservoir,Kazakhstan ,Asia,47.88,84.25,379,5,15,4470.5,53,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
341,Zeyskoye,880,Reservoir,Russia ,Asia,54.43,127.7,271,34.82,93,1964,68.4,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
